Molecule ChEMBL ID,smiles,pIC50
CHEMBL1093245,C(=N/Nc1ncnc2sc3c(c12)CCCC3)\c1cccc2ccccc12,4.89
CHEMBL1093506,C(=N/Nc1ncnc2sc3c(c12)CCCC3)\c1ccc2ccccc2c1,4.88
CHEMBL462108,C=CC1=C(C)[C@@H]2CC(=O)[C@H]3[C@](C)(CO)CCC[C@]3(C)[C@H]2CC1,4.44
CHEMBL517132,C=C[C@@]1(O)CC[C@H]2[C@@H](C[C@@H](O)[C@H]3[C@](C)(COC(C)=O)CCC[C@]23C)C1=C,4.80
CHEMBL457953,C=CC1=C(C)[C@@H]2CC[C@H]3[C@](C)(CO)CCC[C@]3(C)[C@H]2CC1,4.32
CHEMBL459394,C=CC1=C(C)[C@@H]2C[C@@H](OC(C)=O)[C@H]3[C@](C)(COC(C)=O)CCC[C@]3(C)[C@H]2CC1,4.23
CHEMBL175276,c1ccc2c(c1)[nH]c1cccnc12,4.63
CHEMBL175276,c1ccc2c(c1)[nH]c1cccnc12,4.00
CHEMBL1172846,O[C@@H]1Cc2cc(F)ccc2N[C@H](c2ccccc2)C1,4.91
CHEMBL1172384,O[C@@H]1Cc2cc(Br)ccc2N[C@H](c2ccccc2)C1,4.80
CHEMBL1172826,Clc1ccc2c(c1)C[C@H]1C[C@@H](c3ccccc3Cl)N2O1,4.75
CHEMBL512752,N#Cc1c(-c2ccc(Cl)cc2)[n+]([O-])c2ccccc2[n+]1[O-],4.74
CHEMBL445089,COc1ccc(-c2c(C#N)[n+]([O-])c3cc(C)c(C)cc3[n+]2[O-])cc1,4.74
CHEMBL523618,N#Cc1c(-c2ccc(OC(F)(F)F)cc2)[n+]([O-])c2cc(Cl)c(Cl)cc2[n+]1[O-],5.14
CHEMBL290960,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,5.42
CHEMBL176545,Cc1cc[nH]c2c3ccccc3nc1-2,4.98
CHEMBL370662,O=P(O)(O)C(Nc1cccc(Br)c1)P(=O)(O)O,5.16
CHEMBL2316661,O=C1C(O)=C(C(Sc2ccccc2)c2ccccc2)C(=O)c2ccccc21,4.19
CHEMBL2316665,CSc1ccc(SC(C2=C(O)C(=O)c3ccccc3C2=O)c2ccc([N+](=O)[O-])cc2)cc1,4.30
CHEMBL2316649,O=C1C(O)=C(C(Sc2ccc([N+](=O)[O-])cc2)c2ccc([N+](=O)[O-])cc2)C(=O)c2ccccc21,5.50
CHEMBL2316641,O=C1C(O)=C(C(Sc2ccc3ccccc3c2)c2ccccc2)C(=O)c2ccccc21,4.54
CHEMBL2316649,O=C1C(O)=C(C(Sc2ccc([N+](=O)[O-])cc2)c2ccc([N+](=O)[O-])cc2)C(=O)c2ccccc21,4.76
CHEMBL479011,COc1ccc(NC2C3=C(OC2(C)C)c2ccccc2C(=O)C3=O)cc1,4.05
CHEMBL1097119,CC1(C)OC2=C(C(=O)C(=O)c3ccccc32)C1Nc1ccc(Cl)c(Cl)c1,4.36
CHEMBL577771,CC(C)COC1C2=C(OC1(C)C)c1ccccc1C(=O)C2=O,4.33
CHEMBL423172,Cn1c([N+](=O)[O-])cnc1-c1nnc(N)s1,5.89
CHEMBL568075,Cn1c([N+](=O)[O-])cnc1-c1nnc(N/N=C\c2ccc(O)c(O)c2)s1,5.66
CHEMBL568075,Cn1c([N+](=O)[O-])cnc1-c1nnc(N/N=C\c2ccc(O)c(O)c2)s1,5.85
CHEMBL1257052,Cn1c([N+](=O)[O-])cnc1-c1nnc(N/N=C\c2ccc(O)cc2)s1,5.21
CHEMBL1257052,Cn1c([N+](=O)[O-])cnc1-c1nnc(N/N=C\c2ccc(O)cc2)s1,5.77
CHEMBL523962,N#Cc1c(-c2ccc(Cl)cc2)[n+]([O-])c2ccc(C(F)(F)F)cc2[n+]1[O-],5.04
CHEMBL1208868,N#Cc1c(-c2cccs2)[n+]([O-])c2ccc(Cl)cc2[n+]1[O-],5.15
CHEMBL465591,Cl.Cn1c2nc3ccccc3c-2cc2ccccc21,5.70
CHEMBL609575,c1ccc2c(c1)cnc1[nH]ccc12,4.16
CHEMBL593688,Cn1cccc2c3ccccc3nc1-2.I,4.19
CHEMBL4174070,O=C1C=CC(=O)c2c(I)cccc21,6.23
CHEMBL465591,Cl.Cn1c2nc3ccccc3c-2cc2ccccc21,5.70
CHEMBL260842,CC1CCC2=C(O1)c1ccccc1C(=O)C2=O,5.71
CHEMBL117926,COc1ccc2c(c1)cc1c3cc(C#N)ccc3nc-1n2C,6.00
CHEMBL38422,Clc1cc(Oc2ccccc2)ccc1OCCOC1CCCCO1,4.03
CHEMBL609269,COc1ccc(-c2noc(C(=O)N/N=C/c3ccc(O)cc3)n2)cc1,4.49
CHEMBL609290,O=C(N/N=C/c1ccc(O)cc1)c1nc(-c2ccc(F)cc2)no1,4.68
CHEMBL593806,CC(=O)Nc1ccc(/C=N/NC(=O)c2nc(-c3ccccc3)no2)cc1,4.85
CHEMBL605202,CC(=O)Nc1ccc(/C=N/NC(=O)c2nc(-c3ccc(C)cc3)no2)cc1,5.01
CHEMBL594733,Cc1ccc(-c2noc(C(=O)N/N=C/c3ccc(O)cc3)n2)cc1,4.32
CHEMBL2356920,NCc1csc(Nc2cc(Oc3ccccc3)ncn2)n1,4.60
CHEMBL3430995,Cc1c([N+](=O)[O-])c(C(=O)Nc2sc3c(c2C#N)CCC(C)C3)nn1C,5.60
CHEMBL3431440,Cc1cc(Br)sc1CNCCCNc1cc(=O)c2ccccc2[nH]1.Cl.Cl,6.10
CHEMBL534517,CC(C)(C)c1cc(NC2CC2)nc(-c2ccccn2)n1,5.90
CHEMBL3430925,O=[N+]([O-])c1ccc(-c2nnn(-c3cccnc3)n2)o1,7.20
CHEMBL3430935,Cc1nc2[nH]c(C)c(Cc3ccc(C(C)C)cc3)c(=O)n2n1,6.60
CHEMBL3431339,C[C@@H](Oc1cc(-n2cnc3ccc(O[C@H]4CCNC4)cc32)sc1C(N)=O)c1ccccc1Cl,4.90
CHEMBL3431444,Cl.NCc1ccc2c(Cl)cc(Cl)c(O)c2n1,5.60
CHEMBL450746,N=C(Nc1ccc(-c2cc(-c3ccccc3)c(-c3ccc(NC(=N)c4ccccn4)cc3)o2)cc1)c1ccccn1,8.07
CHEMBL368165,c1ccc(-c2c[nH]c3c4ccccc4nc-3c2)nc1,4.68
CHEMBL131616,N#CSCCOc1ccccc1Br,4.70
CHEMBL49128,COc1cc(NC(=N)c2ccccn2)ccc1-c1ccc(-c2ccc(NC(=N)c3ccccn3)cc2OC)o1,6.24
CHEMBL255314,O=C1C=C(Oc2ccc(Cl)cc2F)C(=O)c2cc3ccccc3cc21,4.67
CHEMBL299343,Ic1cc(Oc2ccccc2)ccc1OCCOC1CCCCO1,4.35
CHEMBL43185,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,5.13
CHEMBL3358478,Cc1csc(C(=O)NCCCn2cnc([N+](=O)[O-])n2)c1,5.59
CHEMBL61588,O=C(O)CCCCC(=O)OC12CCCCC1C1CCCCC1(O)OO2,4.72
CHEMBL420248,CSc1ccc(-c2c[nH]cc2C(c2ccc(Cl)cc2Cl)n2ccnc2)cc1,7.37
CHEMBL43185,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,5.31
CHEMBL291054,COc1ccc2c(c1)C(=O)c1oc(C(C)=O)cc1C2=O,6.31
CHEMBL4454435,Cl.Cl.Cl.Cl.Cl.Cl.c1ccc2c(CNCCN(CCNCc3ccnc4ccccc34)CCNCc3ccnc4ccccc34)ccnc2c1,4.60
CHEMBL568518,Cc1nc2cc(OCc3cc(C(=O)N[C@H](C(=O)NO)c4ccccc4)no3)ccc2s1,5.21
CHEMBL567860,COC(=O)[C@H](CC(C)C)NC(=O)c1cc(COc2ccc3sc(C)nc3c2)on1,4.91
CHEMBL584921,COC(=O)[C@@H](NC(=O)c1cc(CSc2nc3ccccc3s2)on1)c1ccccc1,4.77
CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,6.28
CHEMBL577264,O=C1CSC(N/N=C\CSc2ccccc2)=N1,4.46
CHEMBL584007,CCC1SC(N/N=C\CSc2ccccc2)=NC1=O,4.32
CHEMBL568646,Cc1ccc(SC/C=N\NC2=NC(=O)CS2)cc1,4.04
CHEMBL55,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,8.22
CHEMBL3752677,CC(C)C(=O)c1c(C(F)(F)F)[n+]([O-])c2cc(N3CCOCC3)c(N3CCOCC3)cc2[n+]1[O-],4.77
CHEMBL3752490,O=C(c1ccc(F)cc1)c1c(C(F)(F)F)[n+]([O-])c2ccc(F)cc2[n+]1[O-],5.96
CHEMBL3781870,O=C(O[C@H](Cn1ccnc1)c1ccc(Cl)cc1)c1ccc(-c2ccccc2)cc1,6.25
CHEMBL494900,C=CCOc1cc(OC)c(C(=O)/C=C/c2ccccc2Br)c(OCC=C)c1,4.86
CHEMBL3785388,Cc1ccc(C)c(SC/C=N/NC(N)=S)c1,5.49
CHEMBL468260,N#Cc1ccc(/C=N/NC(=O)/C(=C/c2cnn(-c3ccccc3)c2)c2ccc(F)cc2)cc1,4.30
CHEMBL1079694,Cn1c(C(=O)[C@H](CCCNC(=N)N)NC(=O)OCc2ccccc2)nc2ccccc21,4.55
CHEMBL290960,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,6.28
CHEMBL240549,O=S(=O)(Nc1cccc2cccnc12)c1cnc(Cl)c(Br)c1,4.50
